system:time_start,runoff
"Jan 1, 1980",76.871
"Feb 1, 1980",61.087
"Mar 1, 1980",92.26
"Apr 1, 1980",51.571
"May 1, 1980",21.197
"Jun 1, 1980",16.323
"Jul 1, 1980",16.277
"Aug 1, 1980",23.666
"Sep 1, 1980",39.338
"Oct 1, 1980",44.522
"Nov 1, 1980",32.917
"Dec 1, 1980",40.898
"Jan 1, 1981",144.269
"Feb 1, 1981",173.773
"Mar 1, 1981",126.713
"Apr 1, 1981",65.44
"May 1, 1981",25.56
"Jun 1, 1981",13.308
"Jul 1, 1981",9.978
"Aug 1, 1981",29.932
"Sep 1, 1981",43.929
"Oct 1, 1981",52.257
"Nov 1, 1981",51.979
"Dec 1, 1981",67.264
"Jan 1, 1982",178.726
"Feb 1, 1982",107.665
"Mar 1, 1982",124.257
"Apr 1, 1982",74.668
"May 1, 1982",25.901
"Jun 1, 1982",13.872
"Jul 1, 1982",10.372
"Aug 1, 1982",9.423
"Sep 1, 1982",14.743
"Oct 1, 1982",16.856
"Nov 1, 1982",42.189
"Dec 1, 1982",62.305
"Jan 1, 1983",54.232
"Feb 1, 1983",60.008
"Mar 1, 1983",49.605
"Apr 1, 1983",22.555
"May 1, 1983",15.35
"Jun 1, 1983",15.135
"Jul 1, 1983",22.561
"Aug 1, 1983",33.217
"Sep 1, 1983",32.438
"Oct 1, 1983",22.622
"Nov 1, 1983",29.987
"Dec 1, 1983",47.275
"Jan 1, 1984",283.413
"Feb 1, 1984",227.22
"Mar 1, 1984",189.004
"Apr 1, 1984",73.669
"May 1, 1984",22.542
"Jun 1, 1984",14.945
"Jul 1, 1984",11.766
"Aug 1, 1984",14.852
"Sep 1, 1984",14.088
"Oct 1, 1984",28.892
"Nov 1, 1984",86.877
"Dec 1, 1984",85.184
"Jan 1, 1985",111.008
"Feb 1, 1985",138.394
"Mar 1, 1985",91.572
"Apr 1, 1985",67.787
"May 1, 1985",33.288
"Jun 1, 1985",16.543
"Jul 1, 1985",12.238
"Aug 1, 1985",14.293
"Sep 1, 1985",23.054
"Oct 1, 1985",26.122
"Nov 1, 1985",77.27
"Dec 1, 1985",127.253
"Jan 1, 1986",132.76
"Feb 1, 1986",148.099
"Mar 1, 1986",164.686
"Apr 1, 1986",81.427
"May 1, 1986",27.899
"Jun 1, 1986",14.107
"Jul 1, 1986",12.094
"Aug 1, 1986",13.806
"Sep 1, 1986",31.417
"Oct 1, 1986",28.802
"Nov 1, 1986",27.281
"Dec 1, 1986",103.151
"Jan 1, 1987",154.76
"Feb 1, 1987",65.219
"Mar 1, 1987",45.504
"Apr 1, 1987",39.686
"May 1, 1987",24.967
"Jun 1, 1987",15.59
"Jul 1, 1987",18.18
"Aug 1, 1987",13.438
"Sep 1, 1987",16.348
"Oct 1, 1987",47.762
"Nov 1, 1987",51.269
"Dec 1, 1987",39.285
"Jan 1, 1988",94.589
"Feb 1, 1988",94.327
"Mar 1, 1988",163.835
"Apr 1, 1988",105.858
"May 1, 1988",40.617
"Jun 1, 1988",16.295
"Jul 1, 1988",9.592
"Aug 1, 1988",7.454
"Sep 1, 1988",14.968
"Oct 1, 1988",21.375
"Nov 1, 1988",17.479
"Dec 1, 1988",38.225
"Jan 1, 1989",72.611
"Feb 1, 1989",66.128
"Mar 1, 1989",62.556
"Apr 1, 1989",51.383
"May 1, 1989",27.282
"Jun 1, 1989",14.173
"Jul 1, 1989",10.305
"Aug 1, 1989",8.59
"Sep 1, 1989",17.545
"Oct 1, 1989",15.151
"Nov 1, 1989",15.301
"Dec 1, 1989",47.743
"Jan 1, 1990",91.401
"Feb 1, 1990",68.434
"Mar 1, 1990",38.276
"Apr 1, 1990",24.468
"May 1, 1990",22.814
"Jun 1, 1990",36.667
"Jul 1, 1990",24.99
"Aug 1, 1990",12.706
"Sep 1, 1990",10.683
"Oct 1, 1990",24.147
"Nov 1, 1990",56.29
"Dec 1, 1990",72.605
"Jan 1, 1991",125.86
"Feb 1, 1991",98.785
"Mar 1, 1991",69.832
"Apr 1, 1991",34.249
"May 1, 1991",14.128
"Jun 1, 1991",12.424
"Jul 1, 1991",10.191
"Aug 1, 1991",8.973
"Sep 1, 1991",13.046
"Oct 1, 1991",19.778
"Nov 1, 1991",30.176
"Dec 1, 1991",38.791
"Jan 1, 1992",97.543
"Feb 1, 1992",94.082
"Mar 1, 1992",54.254
"Apr 1, 1992",25.213
"May 1, 1992",14.329
"Jun 1, 1992",25.435
"Jul 1, 1992",20.628
"Aug 1, 1992",20.961
"Sep 1, 1992",21.166
"Oct 1, 1992",20.214
"Nov 1, 1992",40.006
"Dec 1, 1992",64.553
"Jan 1, 1993",153.769
"Feb 1, 1993",100.191
"Mar 1, 1993",73.121
"Apr 1, 1993",42.424
"May 1, 1993",17.737
"Jun 1, 1993",9.811
"Jul 1, 1993",10.52
"Aug 1, 1993",43.857
"Sep 1, 1993",40.195
"Oct 1, 1993",28.345
"Nov 1, 1993",32.757
"Dec 1, 1993",74.838
"Jan 1, 1994",91.934
"Feb 1, 1994",110.675
"Mar 1, 1994",64.212
"Apr 1, 1994",35.518
"May 1, 1994",19.074
"Jun 1, 1994",10.267
"Jul 1, 1994",7.314
"Aug 1, 1994",6.766
"Sep 1, 1994",11.164
"Oct 1, 1994",15.25
"Nov 1, 1994",24.207
"Dec 1, 1994",53.798
"Jan 1, 1995",88.887
"Feb 1, 1995",93.147
"Mar 1, 1995",87.506
"Apr 1, 1995",40.381
"May 1, 1995",14.924
"Jun 1, 1995",9.317
"Jul 1, 1995",7.188
"Aug 1, 1995",7.593
"Sep 1, 1995",10.009
"Oct 1, 1995",10.238
"Nov 1, 1995",17.614
"Dec 1, 1995",64.126
"Jan 1, 1996",120.906
"Feb 1, 1996",67.521
"Mar 1, 1996",44.536
"Apr 1, 1996",28.717
"May 1, 1996",14.616
"Jun 1, 1996",9.474
"Jul 1, 1996",8.567
"Aug 1, 1996",19.847
"Sep 1, 1996",24.931
"Oct 1, 1996",20.183
"Nov 1, 1996",48.819
"Dec 1, 1996",87.567
"Jan 1, 1997",124.232
"Feb 1, 1997",148.97
"Mar 1, 1997",120.1
"Apr 1, 1997",53.026
"May 1, 1997",27.176
"Jun 1, 1997",16.57
"Jul 1, 1997",11.403
"Aug 1, 1997",12.421
"Sep 1, 1997",20.942
"Oct 1, 1997",21.647
"Nov 1, 1997",20.968
"Dec 1, 1997",25.72
"Jan 1, 1998",39.437
"Feb 1, 1998",43.497
"Mar 1, 1998",49.531
"Apr 1, 1998",36.564
"May 1, 1998",17.7
"Jun 1, 1998",17.236
"Jul 1, 1998",13.902
"Aug 1, 1998",8.97
"Sep 1, 1998",12.711
"Oct 1, 1998",35.186
"Nov 1, 1998",49.465
"Dec 1, 1998",35.081
"Jan 1, 1999",67.94
"Feb 1, 1999",109.371
"Mar 1, 1999",189.168
"Apr 1, 1999",74.656
"May 1, 1999",21.282
"Jun 1, 1999",11.948
"Jul 1, 1999",8.45
"Aug 1, 1999",7.386
"Sep 1, 1999",22.077
"Oct 1, 1999",25.049
"Nov 1, 1999",19.044
"Dec 1, 1999",33.411
"Jan 1, 2000",102.627
"Feb 1, 2000",113.026
"Mar 1, 2000",91.497
"Apr 1, 2000",39.317
"May 1, 2000",14.162
"Jun 1, 2000",13.214
"Jul 1, 2000",10.998
"Aug 1, 2000",9.719
"Sep 1, 2000",11.513
"Oct 1, 2000",24.364
"Nov 1, 2000",27.514
"Dec 1, 2000",60.804
"Jan 1, 2001",156.008
"Feb 1, 2001",155.374
"Mar 1, 2001",136.998
"Apr 1, 2001",56.672
"May 1, 2001",22.118
"Jun 1, 2001",17.351
"Jul 1, 2001",14.905
"Aug 1, 2001",18.703
"Sep 1, 2001",16.081
"Oct 1, 2001",19.083
"Nov 1, 2001",27.511
"Dec 1, 2001",59.807
"Jan 1, 2002",60.383
"Feb 1, 2002",99.841
"Mar 1, 2002",97.676
"Apr 1, 2002",50.942
"May 1, 2002",23.212
"Jun 1, 2002",15.699
"Jul 1, 2002",26.855
"Aug 1, 2002",22.9
"Sep 1, 2002",16.833
"Oct 1, 2002",27.537
"Nov 1, 2002",29.916
"Dec 1, 2002",32.587
"Jan 1, 2003",98.405
"Feb 1, 2003",90.093
"Mar 1, 2003",76.644
"Apr 1, 2003",39.142
"May 1, 2003",15.281
"Jun 1, 2003",8.739
"Jul 1, 2003",8.383
"Aug 1, 2003",9.761
"Sep 1, 2003",10.735
